date_and_time	parameter	http_code	responds_time	days_requested	days_received
2018-01-22 05:08:05	sdfsw	200	0.614941	21	0
2018-01-22 04:53:05	sd	200	0.659147	21	20
2018-01-22 04:53:04	sdfsw	200	0.681498	21	20
2018-01-22 04:53:04	tm	200	0.442774	21	19
2018-01-22 04:40:05	sd	200	0.878636	21	20
2018-01-22 04:39:05	tm	200	0.429427	21	19
2018-01-22 04:38:04	sdfsw	200	0.805857	21	0
2018-01-22 04:23:05	tm	200	0.424577	21	19
2018-01-22 04:23:05	sd	200	0.450912	21	20
2018-01-22 04:23:04	sdfsw	200	0.455937	21	20
2018-01-22 04:09:40	sd	200	0.69854	21	20
2018-01-22 04:08:40	tm	200	0.408513	21	0
2018-01-22 04:08:09	sdfsw	200	0.709361	21	20
2018-01-22 03:53:05	tm	200	0.392171	21	18
2018-01-22 03:53:05	sd	200	0.481551	21	20
2018-01-22 03:53:04	sdfsw	200	0.576343	21	20
2018-01-22 03:39:40	sd	200	0.699025	21	20
2018-01-22 03:38:40	tm	200	0.419249	21	0
2018-01-22 03:38:12	sdfsw	200	0.405474	21	20
2018-01-22 03:23:07	tm	200	0.383197	21	18
2018-01-22 03:23:07	sd	200	0.429958	21	20
2018-01-22 03:23:06	sdfsw	200	0.601384	21	20
2018-01-22 03:09:40	sd	200	0.697256	21	20
2018-01-22 03:08:40	tm	200	0.399958	21	0
2018-01-22 03:08:06	sdfsw	200	0.652509	21	20
2018-01-22 02:53:05	sd	200	0.459641	21	20
2018-01-22 02:53:04	sdfsw	200	0.539152	21	20
2018-01-22 02:53:04	tm	200	0.47677	21	18
2018-01-22 02:38:08	sd	200	0.401466	21	20
2018-01-22 02:38:07	tm	200	0.402343	21	18
2018-01-22 02:38:04	sdfsw	200	0.819791	21	20
2018-01-22 02:23:06	tm	200	0.463321	21	18
2018-01-22 02:23:06	sd	200	0.567511	21	20
2018-01-22 02:23:05	sdfsw	200	0.928899	21	20
2018-01-22 02:09:21	sd	200	0.696151	21	20
2018-01-22 02:08:20	tm	200	0.377242	21	0
2018-01-22 02:08:08	sdfsw	200	0.376632	21	20
2018-01-22 01:53:14	tm	200	0.468645	21	18
2018-01-22 01:53:14	sd	200	0.530424	21	20
2018-01-22 01:53:13	sdfsw	200	0.965021	21	20
2018-01-22 01:39:21	sd	200	0.687881	21	20
2018-01-22 01:38:20	tm	200	0.386759	21	0
2018-01-22 01:38:05	sdfsw	200	0.222468	21	20
2018-01-22 01:23:06	tm	200	0.489114	21	18
2018-01-22 01:23:06	sd	200	0.632331	21	20
2018-01-22 01:23:05	sdfsw	200	0.697507	21	20
2018-01-22 01:09:21	sd	200	0.700735	21	20
2018-01-22 01:08:20	tm	200	0.398851	21	0
2018-01-22 01:08:07	sdfsw	200	0.02314	21	20
2018-01-22 00:53:07	sd	200	0.517506	21	20
2018-01-22 00:53:06	sdfsw	200	0.694666	21	20
2018-01-22 00:53:06	tm	200	0.532406	21	18
2018-01-22 00:39:41	sd	200	0.25849	21	20
2018-01-22 00:38:40	tm	200	0.363001	21	0
2018-01-22 00:38:05	sdfsw	200	0.718482	21	20
2018-01-22 00:23:07	sd	200	0.509007	21	20
2018-01-22 00:23:05	tm	200	0.95808	21	18
2018-01-22 00:23:04	sdfsw	200	0.150883	21	20
2018-01-22 00:09:41	sd	200	0.854781	21	20
2018-01-22 00:08:40	tm	200	0.399576	21	0
2018-01-22 00:08:07	sdfsw	200	0.905475	21	20
2018-01-21 23:53:07	tm	200	0.412341	21	19
2018-01-21 23:53:07	sd	200	0.410102	21	21
2018-01-21 23:53:06	sdfsw	200	0.478873	21	21
2018-01-21 23:38:08	tm	200	0.40404	21	19
2018-01-21 23:38:08	sd	200	0.413364	21	21
2018-01-21 23:38:05	sdfsw	200	0.787819	21	21
2018-01-21 23:23:07	sd	200	0.408128	21	21
2018-01-21 23:23:06	tm	200	0.405565	21	19
2018-01-21 23:23:05	sdfsw	200	0.49854	21	21
2018-01-21 23:08:06	tm	200	0.416945	21	19
2018-01-21 23:08:06	sd	200	0.40776	21	21
2018-01-21 23:08:05	sdfsw	200	0.554258	21	21
2018-01-21 22:53:05	tm	200	0.3961	21	19
2018-01-21 22:53:05	sd	200	0.424309	21	21
2018-01-21 22:53:04	sdfsw	200	0.48416	21	21
2018-01-21 22:38:09	sd	200	0.442333	21	21
2018-01-21 22:38:08	tm	200	0.436581	21	19
2018-01-21 22:38:05	sdfsw	200	0.155199	21	21
2018-01-21 22:23:07	tm	200	0.424648	21	19
2018-01-21 22:23:07	sd	200	0.426322	21	21
2018-01-21 22:23:04	sdfsw	200	0.854633	21	21
2018-01-21 22:08:06	tm	200	0.407134	21	19
2018-01-21 22:08:06	sd	200	0.417835	21	21
2018-01-21 22:08:05	sdfsw	200	0.498279	21	21
2018-01-21 21:53:05	sd	200	0.417069	21	21
2018-01-21 21:53:04	sdfsw	200	0.509892	21	21
2018-01-21 21:53:04	tm	200	0.421819	21	19
2018-01-21 21:38:09	sd	200	0.408041	21	21
2018-01-21 21:38:08	tm	200	0.493264	21	19
